,comm_2
420,903324465718841344
421,459815465
422,1066471045
423,2796950158
424,2841823731
425,329546910
426,145493922
427,885972891493429249
428,165471784
429,605639667
430,139797633
431,1380422640
432,1580721241
433,4276948936
434,1005390991
435,460178333
436,1195731199588753408
437,4665455474
438,133528409
439,1188766247833522177
440,1160611885
441,918893305664098304
442,3004540000
443,1214959405130747905
444,2904541995
445,746070676361056256
446,2987590619
447,797041590
448,968172750866206720
449,202984292
450,1271503023441874944
451,43814969
452,343958606
453,1286778226921164806
454,145654847
455,1150577748647251968
456,126919737
457,271210923
458,3409600774
459,1078083942
460,949431267497598976
461,457024525
462,772883379435999232
463,138725518
464,150734923
465,836750423818125312
466,158530212
467,66368143
468,3323107887
469,1290051460810629122
470,1250827713742602240
471,1961140502
472,189101860
473,1069603893636751360
474,2982691299
475,539618806
476,93873015
477,1304940212854894593
478,17621963
479,35961319
480,448952753
481,815454084
482,307672796
483,596738215
484,175572966
485,1905526932
486,1088204304723386368
487,395699087
488,36395249
489,2301867769
490,1258023902
491,4378083921
492,68502960
493,1186104565462192128
494,2230560829
495,1115740363598118912
496,1621053180
497,284286244
498,341097304
499,195724227
500,510740590
501,17753708
502,96128280
503,294407248
504,437640516
505,1250601378872991745
506,4799175983
507,1299779790266863617
508,1318664575483629571
509,136057968
510,275667108
511,1109974841623498755
512,63788335
513,3221323829
514,4778263162
515,90469110
516,517004643
517,4642229183
518,2719035609
519,183376821
520,256106721
521,1120165760696037382
522,1120491026
523,179754768
524,506410070
525,178408171
526,1688476074
527,4195209507
528,708415292121153536
529,69702091
530,1225849618497515520
531,2220056074
532,60089889
533,2721608581
534,212950714
535,899704634
536,408582259
537,1219042916
538,173175452
539,3314177613
540,1251996872
541,2732758305
542,4198709603
543,296217781
544,143113689
545,1189542114171981831
546,1164156646827974656
547,1340258085374451713
548,2730118150
549,841116920
550,1329839425216524292
551,137486112
552,66747783
553,1325929295370461185
554,28870059
555,1169285218559283201
556,891479067056361473
557,57399765
558,1330259749309394944
559,123874053
560,1249884575255445504
561,1242954317105152000
562,1309223027650035715
563,301965864
564,243323185
565,1199687449884217344
566,1202174443793125376
567,373594732
568,144994598
569,189597740
570,1189530295797723136
571,1209279937968066560
572,3411462795
573,145826672
574,328231125
575,1281089239778721797
576,900068790
577,3309321867
578,998052028579565568
579,1628444629
580,2764836005
581,3108851163
582,1216307359066312707
583,1214511208830816257
584,315864204
585,358449853
586,4157482947
587,132729006
588,616061420
589,145010134
590,1274078059482812416
591,2900846036
592,52765220
593,908815858973253632
594,2531647449
595,185187477
596,1074817759303909378
597,2411046360
598,1293094302
599,1181197053260685312
600,489828134
601,3358932353
602,509689243
603,581976810
604,148220163
605,1292245093542506503
606,1310803777440681984
607,3158027980
608,84352783
609,1231677436137549824
610,1255667715475464192
611,353854993
612,1325992493138268160
613,1099507819680800768
614,1259543779125661698
615,1106735970
616,2353442474
617,1072862546267275266
618,146947918
619,1296606014121418752
620,2783159023
621,788027574
622,2193389569
623,127257918
624,3173869132
625,3349458881
626,461069610
627,946548515471331329
628,1274476137478053889
629,1338862735094730757
630,3731462615
631,2238183656
632,810037844
633,172201080
634,2806244294
635,1290689610499137539
636,90997529
637,830986424
638,1309606708885557249
639,807300595619139584
640,183408601
641,1201509490094424066
642,1257661588565372928
643,1318360032333922304
644,441512712
645,26817538
646,1234387686460444672
647,1256760518284632065
648,888445686383071232
649,1060633364
650,2716157849
651,76028175
652,1286812539469402113
653,552664234
654,492439248
655,976298013395210240
656,2756942101
657,3918715521
658,1217014021
659,1095819112574537728
660,1120076166818406401
661,2442873318
662,1035782769882918912
663,51769289
664,367396547
665,1345711942095294466
666,230833724
667,1241560483
668,1043316565947691009
669,167563626
670,2703997853
671,944142862303879168
672,454993538
673,794332
674,1072309736555601921
675,153866271
676,166148237
677,334866629
678,48431938
679,1281091471723167744
680,1342961725075816448
681,1342106661926948864
682,1276310472
683,1250890240006512647
684,595060531
685,116041041
686,195412602
687,29536477
688,75355018
689,1203813886627139585
690,1520324371
691,32554542
692,1051195756890198016
693,993451171
694,1186091591888490497
695,840856957
696,1284302070368161795
697,1207132676085501952
698,267784293
