,comm_1
0,2412575347
1,130979339
2,1171384413948710916
3,144929758
4,146621283
5,73102744
6,4160782817
7,1323376297037410312
8,1179789999266504704
9,2687724840
10,985701258
11,1568951060
12,1579326655
13,1300538383136100353
14,2649509616
15,4195795468
16,195855213
17,2660419755
18,722605561704013825
19,2185096220
20,1210368056020656133
21,273492863
22,337802928
23,331329197
24,1210013696
25,2513354977
26,294933622
27,959033548379508736
28,496500008
29,863127058687381504
30,3701352916
31,1276775322415923201
32,4925346508
33,2338546143
34,198883031
35,200733756
36,1202034837458182144
37,141027864
38,862058688118480897
39,388628001
40,257619002
41,1299707646501629952
42,1115122813
43,367933714
44,4691081492
45,1077176953
46,2352394681
47,1344669664568356865
48,1249752252740403200
49,312708081
50,813028689743114241
51,628584154
52,1580608093
53,768543999464509441
54,856924116
55,3330435293
56,1254067466264854528
57,3075829840
58,845504142374252544
59,2862927019
60,166990862
61,132738712
62,837186873143488514
63,135511112
64,932588769370427393
65,184413750
66,1537594296
67,1018702575804256258
68,1028073660127608842
69,388036620
70,1566827875
71,3380375447
72,325917517
73,135951915
74,1297284971816726528
75,176442061
76,2567927971
77,342735056
78,159296024
79,72424988
80,1161953086337888257
81,182126884
82,137000487
83,152325528
84,154738110
85,147218237
86,159922726
87,717429123644264450
88,187059258
89,198695533
90,140114848
91,171754382
92,907618097791733761
93,869545709481201667
94,764825023169306626
95,1353462367
96,3296441443
97,2864944011
98,1178784281822408705
99,4438416753
100,1098564762521255936
101,144236530
102,1304406421761593349
103,145322126
104,1135484426329178112
105,2982159502
106,1230229846552465410
107,1528205671
108,986029222404739072
109,1188563364945022976
110,715713128923795458
111,758466578400833536
112,902884315058634753
113,138929943
114,201521186
115,4551773986
116,615522242
117,150678121
118,801114705796407298
119,165136131
120,791419202515169281
121,939533054040858625
122,202824848
123,2729201739
124,4499580976
125,2355353503
126,1160922835218550784
127,179358101
128,324208281
129,2802459665
130,861917090814582784
131,4343677427
132,144344150
133,3939103277
134,3050904728
135,501003454
136,7573932
137,1142546892242456576
138,225489831
139,1200475594410151936
140,2493532482
141,104916189
142,1344630662670725120
143,4822605220
144,475408248
145,201418332
146,3360706637
147,188459838
148,1062747310587891712
149,79840600
150,487996141
151,2170948302
152,1702761704
153,1028543186
154,345580203
155,1173841156385529856
156,1189955310594805761
157,811700275434110977
158,15899435
159,1239943788166070277
160,345391389
161,910370284716294148
162,4010899792
163,362188459
164,1158110411570499584
165,986262985252507650
166,265677567
167,1163957624368521217
168,219979521
169,1135688648
170,840377572038983680
171,131329344
172,1085147879638003715
173,1717288734
174,900271822465380352
175,1241628280538763266
176,877271954474094592
177,957455883679813634
178,9713242
179,1289836493637287937
180,1251691045223649283
181,855454070
182,1219068280146624513
183,1167797841575723008
184,222308805
185,1314547518064263168
186,1080233630247591936
187,995213874
188,4071673887
189,1284829958167298050
190,180152744
191,174935432
192,121556705
193,1407604644
194,922887363650637825
195,1280732155258318854
196,204509784
197,301450203
198,187495266
199,1342067071
200,594809093
201,57745162
202,9798472
203,447986040
204,1250564390149140481
205,254569107
206,165109542
207,1019190055536070656
208,1679653772
209,1057073271928172545
210,1044374927103717376
211,141744080
212,1155521388
213,485124540
214,329699082
215,2998500897
216,1035286907863920641
217,1061634388776153088
218,171110904
219,224470275
220,4694481390
221,188525384
222,200302248
223,3372461026
224,1302656940602949634
225,208413101
226,1372001766
227,117293154
228,2804171612
229,967950389650784261
230,714628196986200064
231,118539891
232,1026473144599625729
233,1235589976685006848
234,2164836392
235,1287448749057421312
236,415537589
237,1237140605395972097
238,1224307182658818049
239,1060196358014013440
240,3381003869
241,254823560
242,293587439
243,108623222
244,923617919283683329
245,4254489910
246,2780654617
247,955182380658118660
248,615480715
249,177612041
250,182831320
251,184635030
252,554075191
253,1176839764684759048
254,776119831796051968
255,462369720
256,1272970550185545729
257,2925634140
258,1367479191600566272
259,75843603
260,359167086
261,2823327627
262,249254278
263,149096668
264,162915463
265,1156304257139838980
266,1214369257141817346
267,1343950119461408769
268,170470425
269,147957685
270,80053041
271,277314874
272,854399711477977088
273,743153532438745088
274,781849538931879940
275,180986917
276,65634865
277,158517384
278,133115327
279,179112456
280,744237211
281,1189236650351702016
282,3246424408
283,1014284625592639489
284,109295783
285,948623186
286,7697752
287,128139480
288,1222297315098202113
289,154785800
290,152355423
291,229457613
292,1165677762801262594
293,387154615
294,206371045
295,817557498
296,231182240
297,1005621888
298,1151691321687662593
299,4728027207
300,182236886
301,253133559
302,973058958364758016
303,42968250
304,180922573
305,3364886187
306,910959980341350402
307,835935778530344960
308,1146448109070966784
309,4561458511
310,165342631
311,991121640007364613
312,992420860907663361
313,1221172637063352327
314,149762941
315,1294051362922274816
316,1011030655340306432
317,145026997
318,981137320849133569
319,162880289
320,952377630468247554
321,913952404286197761
322,1311827151692455936
323,335949057
324,1544696155
325,300658094
326,43167904
327,486571670
328,429058631
329,2584671668
330,153653271
331,1279243256
332,1364240832644153346
333,1480445917
334,785586210836090880
335,974830959949500421
336,3297975034
337,1350143154
338,313657486
339,2198255803
340,255098969
341,1168715250285371392
342,1254817239863353345
343,4850520537
344,1157660830755885056
345,340763424
346,1352733531630432256
347,1096431145510727681
348,4049021603
349,4301775809
350,271670899
351,96592659
352,1621463827
353,3462238936
354,2809511758
355,1231588417961701377
356,1003404368157270017
357,1220663558003924992
358,3349155334
359,953615537107537921
360,159916597
361,321678625
362,374666658
363,295928937
364,2351684859
365,862659313415925760
366,3064700062
367,66257573
